Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,3P.1,2P.1
1,Zaid Abdul-Aziz,PF,23,MIL,80,,20.5,3,6.8,0.434,,,,3,6.8,0.434,0.434,1.5,2.3,0.643,,,7.5,0.8,,,,2.1,7.4,1970,,
2,Kareem Abdul-Jabbar*,C,22,MIL,82,,43.1,11.4,22.1,0.518,,,,11.4,22.1,0.518,0.518,5.9,9.1,0.653,,,14.5,4.1,,,,3.5,28.8,1970,,
3,Mahdi Abdul-Rahman,PG,27,ATL,82,,33.6,6,12.9,0.467,,,,6,12.9,0.467,0.467,3.3,4,0.809,,,4,6.8,,,,3.2,15.3,1970,,
4,Rick Adelman,PG,23,SDR,35,,20.5,2.7,7.1,0.389,,,,2.7,7.1,0.389,0.389,1.9,2.6,0.747,,,2.3,3.2,,,,2.6,7.4,1970,,
5,Lucius Allen,PG,22,SEA,81,,22.4,3.8,8.5,0.442,,,,3.8,8.5,0.442,0.442,2.2,3.1,0.731,,,2.6,4.2,,,,2.5,9.8,1970,,
6,Wally Anderzunas,SF,24,CIN,44,,8.4,1.5,3.8,0.392,,,,1.5,3.8,0.392,0.392,0.7,1,0.63,,,1.9,0.2,,,,1.1,3.6,1970,,
7,John Arthurs,G,22,MIL,11,,7.8,1.1,3.2,0.343,,,,1.1,3.2,0.343,0.343,1,1.4,0.733,,,1.3,1.5,,,,1.4,3.2,1970,,
8,Al Attles,PG,33,SFW,45,,15,1.7,4.5,0.386,,,,1.7,4.5,0.386,0.386,1.7,2.5,0.664,,,1.6,3.2,,,,2.3,5.1,1970,,
9,Jim Barnes,C,28,BOS,77,,13.6,2.3,5.6,0.41,,,,2.3,5.6,0.41,0.41,1.2,1.7,0.742,,,4.5,0.7,,,,3,5.9,1970,,
10,Dick Barnett,SG,33,NYK,82,,33.8,6,12.7,0.475,,,,6,12.7,0.475,0.475,2.8,4,0.714,,,2.7,3.6,,,,2.7,14.9,1970,,
11,Jim Barnett,SG,25,SDR,80,,26.3,5.6,12.5,0.451,,,,5.6,12.5,0.451,0.451,3.6,4.6,0.79,,,3.8,3.6,,,,2.8,14.9,1970,,
12,Johnny Baum,SF,23,CHI,3,,4.3,1,3.7,0.273,,,,1,3.7,0.273,0.273,0,0,,,,1.3,0,,,,0.3,2,1970,,
13,Elgin Baylor*,SF,35,LAL,54,,41,9.5,19.5,0.486,,,,9.5,19.5,0.486,0.486,5.1,6.6,0.773,,,10.4,5.4,,,,2.4,24,1970,,
14,Butch Beard,PG,22,ATL,72,,13.1,2.5,5.4,0.467,,,,2.5,5.4,0.467,0.467,1.9,2.3,0.828,,,1.9,1.7,,,,1.7,7,1970,,
15,Walt Bellamy*,C,30,TOT,79,,25.7,4.4,8.5,0.523,,,,4.4,8.5,0.523,0.523,2.7,4.7,0.576,,,8.9,1.8,,,,3.3,11.6,1970,,
16,Dave Bing*,PG,26,DET,70,,33.3,8.2,18.5,0.444,,,,8.2,18.5,0.444,0.444,6.5,8.3,0.783,,,4.3,6,,,,2.8,22.9,1970,,
17,John Block,PF,25,SDR,82,,26.2,5.5,12.5,0.442,,,,5.5,12.5,0.442,0.442,3.5,4.5,0.782,,,7.4,1.7,,,,3.4,14.5,1970,,
