球员,赛季,球队,出场,首发,时间,投篮,命中,出手,三分,三分命中,三分出手,罚球,罚球命中,罚球出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
阿伦-艾弗森,98-99,76人,48,48,41.5,0.412,9.1,22.0,0.291,1.2,4.1,0.751,7.4,9.9,4.9,1.4,3.5,4.6,2.3,0.1,3.5,2.0,26.8,28,20
沙奎尔-奥尼尔,98-99,湖人,49,49,34.8,0.576,10.4,18.1,0.0,0.0,0.0,0.54,5.5,10.2,10.7,3.8,6.9,2.3,0.7,1.7,2.5,3.2,26.3,31,18
卡尔-马龙,98-99,爵士,49,49,37.4,0.493,8.0,16.3,0.0,0.0,0.0,0.788,7.7,9.8,9.4,2.2,7.3,4.1,1.3,0.6,3.3,2.7,23.8,36,13
谢里夫-阿布杜-拉希姆,98-99,灰熊,50,50,40.4,0.432,7.7,17.9,0.306,0.2,0.7,0.841,7.4,8.8,7.5,2.3,5.2,3.4,1.4,1.1,3.7,2.7,23.0,8,42
基斯-范霍恩,98-99,篮网,42,42,37.5,0.428,7.7,17.9,0.302,0.4,1.3,0.859,6.1,7.1,8.5,2.7,5.8,1.5,1.0,1.3,3.2,3.2,21.8,14,28
加里-佩顿,98-99,超音速,50,50,40.2,0.434,8.0,18.5,0.295,1.7,5.6,0.721,4.0,5.5,4.9,1.2,3.6,8.7,2.2,0.2,3.1,2.3,21.7,25,25
蒂姆-邓肯,98-99,马刺,50,50,39.3,0.495,8.4,16.9,0.143,0.0,0.1,0.69,4.9,7.2,11.4,3.2,8.2,2.4,0.9,2.5,2.9,2.9,21.7,37,13
斯蒂芬-马布里,98-99,-1,49,49,38.7,0.428,7.7,18.0,0.335,1.3,4.0,0.799,4.5,5.7,2.9,0.8,2.1,8.9,1.2,0.2,3.3,2.6,21.3,25,24
安东尼奥-麦克戴斯,98-99,掘金,50,50,38.7,0.471,8.3,17.6,0.111,0.0,0.2,0.68,4.6,6.8,10.7,3.4,7.4,1.6,1.5,2.3,2.8,3.5,21.2,14,36
格兰特-希尔,98-99,活塞,50,50,37.0,0.479,7.7,16.0,0.0,0.0,0.3,0.752,5.7,7.6,7.1,1.3,5.8,6.0,1.6,0.5,3.7,2.3,21.1,29,21
凯文-加内特,98-99,森林狼,47,47,37.9,0.46,8.8,19.1,0.286,0.1,0.3,0.704,3.1,4.4,10.4,3.5,6.9,4.3,1.7,1.8,2.9,3.2,20.8,24,23
肖恩-坎普,98-99,骑士,42,42,35.1,0.482,6.6,13.7,0.5,0.0,0.0,0.789,7.3,9.3,9.2,3.1,6.1,2.4,1.1,1.1,3.0,3.8,20.5,21,21
迈克尔-芬利,98-99,独行侠,50,50,41.0,0.444,7.8,17.5,0.331,0.9,2.7,0.823,3.7,4.5,5.3,1.4,3.9,4.4,1.3,0.3,2.1,1.9,20.2,19,31
阿朗佐-莫宁,98-99,热火,46,46,38.1,0.511,7.0,13.8,0.0,0.0,0.0,0.652,6.0,9.2,11.0,3.6,7.4,1.6,0.7,3.9,3.0,3.5,20.1,32,14
克里斯-韦伯,98-99,国王,42,42,40.9,0.486,9.0,18.5,0.118,0.1,0.8,0.454,1.9,4.1,13.0,3.5,9.4,4.1,1.4,2.1,3.5,3.5,20.0,22,20
科比-布莱恩特,98-99,湖人,50,50,37.9,0.465,7.2,15.6,0.267,0.5,2.0,0.839,4.9,5.8,5.3,1.1,4.2,3.8,1.4,1.0,3.1,3.1,19.9,31,19
